name,addresslines,hours_open_per_week,gc_status_rel,has_lu,has_cl,has_wa,has_vs,zipcode,storenumber,revenue
North Farmingdale,"2015 Broad Hollow Rd.,Farmingdale, NY 11735",115.0,0.96,1,0,1,0,11735,27040-246505,2440242.482891315
Stop & Shop-Babylon #543,"88 Golding Avenue,Babylon, NY 11704",98.0,0.95,0,0,1,0,11704,79465-104047,1995238.983862161
Plainview - Country Pointe,"1411 Old Country Road,Plainview, NY 11803",104.0,0.95,1,0,1,1,11803,52535-282384,2492752.7179576703
Plainview Centre,"399 South Oyster Bay Road,Plainview, NY 11803",122.0,0.99,1,0,1,1,11803,842-2053,2303303.870014155
West Babylon,"519 Montauk Highway,West Babylon, NY 11704",114.5,0.97,1,0,1,1,11704,9846-98601,1792182.223748893
Jericho,"475 North Broadway,Jericho, NY 11753",116.0,0.95,1,1,1,1,11753,7235-643,4257652.107751035
Melville,"64 Broad Hollow Road,Melville, NY 11747",110.5,0.96,1,0,1,1,11747,7576-18559,2041940.9429972125
Syosset- South Oyster Bay,"390 Jericho Turnpike,Unit B,Syosset, NY 11791",109.0,0.95,1,0,1,1,11791,7728-62680,3551329.6254332536
North Babylon,"1238 Deer Park Ave,North Babylon, NY 11703",124.5,0.99,1,0,1,1,11703,16421-157664,2546153.0795887457
Woodbury  Village,"7963 Jericho Turnpike,Woodbury, NY 11797",117.5,0.95,1,0,1,1,11797,7220-158624,1020381.0523287081
North Melville,"488 Walt Whitman Rd,Melville, NY 11747",112.0,0.97,1,0,1,0,11747,21980-216607,2470401.913013485
Deer Park-Commack Rd.,"512 Commack Rd.,Deer Park, NY 11729",109.5,0.97,1,0,1,1,11729,26498-244384,2471810.719975837
Tanger Outlets Deer Park,"529 The Arches Circle,Deer Park, NY 11729",89.0,0.99,1,0,1,1,11729,14368-112365,1925042.8558811026
Walt Whitman Shops-Center Court,"160 Walt Whitman Road,tbd,Huntington Station, NY 11746",89.5,0.98,1,0,1,1,11746,7722-194184,2154194.685409661
Target Bay Shore T-1148,"838 Sunrise Hwy,Bay Shore, NY 11706",91.0,0.97,0,0,0,0,11706,15413-156964,2708955.344010821
Target Huntington T-2844,"124 E Jericho Turnpike,Huntington, NY 11746",84.0,0.97,0,0,1,0,11746,20765-207753,2343326.6277637263
Commack Rd.  Henry St.,"668 Commack Rd, Commack, NY 11725",94.0,0.95,0,0,0,0,11725,28759-251047,3070351.1952304104
Macys South Shore Mall,"1702 Sunrise Hwy,Bay Shore, NY 11706",70.0,0.97,0,0,0,0,11706,19833-188585,1936099.0721003718
East Northport  Rte. 25,"3011 Jericho Tpke. East Northport, NY 11731",133.0,0.92,0,0,0,0,11731,10045-99397,3128136.7895562
Target Commack T-1108,"98 Veterans Memorial Hwy,Commack, NY 11725",86.0,0.97,0,0,1,0,11725,15620-162704,2063888.3752319238
Jericho Tpke  Commack,"2055A Jericho Tpke Commack, NY 11725",78.0,0.92,0,0,0,0,11725,11811-104574,1885181.27250812
E. Northport  Larkfield Rd,"506 Larkfield Rd, East Northport, NY 11731",118.0,0.95,0,0,0,0,11731,10329-100400,2633167.379208095
Islip Village,"455 Main St,Islip, NY 11751",110.0,0.95,1,0,1,1,11751,7651-39320,1429194.4215496338
Target Central Islip T-2102,"160 N Research Pl,Central Islip, NY 11722",90.0,0.99,0,0,0,0,11722,76582-96831,1108818.2806990193
East Islip-Sunrise Hwy.,"2550 Sunrise Hwy.,East Islip, NY 11730",125.0,0.97,1,0,1,1,11730,49606-270104,3855216.7607495626
Hauppauge - Route 111,"513 Route 111,Hauppauge, NY 11788",113.5,0.95,1,0,1,1,11788,7813-74601,2644061.417534325
Huntington,"1 Wall Street,Huntington, NY 11743",119.5,0.95,1,0,1,1,11743,855-2052,1049650.132200427
Northport Village,"832A Fort Salonga Road,Northport, NY 11768",114.0,0.96,1,0,1,1,11768,10283-100401,2175137.1677282983
Smithtown,"1 Miller Place,Smithtown, NY 11787",105.0,0.91,1,0,1,1,11787,7411-1582,3114064.598142592
Islandia  NY,"3701 Express Dr N, Islandia, NY 11749",75.0,0.97,0,0,0,0,11749,23737-231984,2059460.743362249
Smith Haven Mall,"528 Smith Haven Mall,Lake Grove, NY 11755",98.0,0.99,1,0,1,1,11755,10046-98654,1558339.7727288562
Stony Brook (347),"1320 Stony Brook Road,Stony Brook, NY 11790",110.5,0.99,1,0,1,1,11790,7635-23767,1806326.7646711092
Stonybrook Library,"STONYBOOK UNIVERSITY,Stony Brook, NY 11794",94.0,0.92,0,0,0,0,11794,48925-257625,1790376.495036045
Target South Setauket T-1191,"255 Pond Path,Centereach, NY 11720",90.0,0.95,0,0,1,0,11720,15617-162705,2642051.3833762244
ISP - Islip Gate 4 SW Terminal,"100 Arrival Ave,Ronkonkoma, NY 11779",98.0,0.95,1,0,0,0,11779,75901-97856,2791136.8225504947
Bohemia,"4577 Sunrise Highway,Oakdale, NY 11716",122.5,0.92,1,0,1,1,11716,7503-7287,2816455.1186110894
Bohemia- Veterans Mem Hwy,"4180 Veterans Memorial Hwy,Bohemia, NY 11716",102.5,0.97,1,1,1,1,11716,20136-203441,1377682.6864180008
Centereach,"1942 Middle Country Road,Centereach, NY 11720",108.0,0.97,1,0,1,1,11720,7614-28547,2782265.188238884
Aramark at Suffolk Comm College,"533 College Rd,Selden, NY 11784",118.0,0.95,0,0,1,0,11784,27179-246407,2389513.528381951
